label,top1,top2,top5
天妇罗,0.7945205479452054,0.9178082191780822,0.9452054794520548
杨枝甘露,0.7962962962962963,0.9444444444444444,1.0
果冻,0.2631578947368421,0.3157894736842105,0.6842105263157895
虫草花鸡汤,0.8484848484848485,0.8787878787878788,0.9696969696969697
八宝粥,0.8181818181818182,0.9090909090909091,1.0
酱骨架,0.6984126984126984,0.7936507936507936,0.873015873015873
清炒虾仁,0.8787878787878788,0.9393939393939394,1.0
麦片,0.7631578947368421,0.868421052631579,1.0
毛血旺,0.8,0.8857142857142857,0.9714285714285714
碳酸饮料,0.43103448275862066,0.7068965517241379,0.9827586206896551
棒棒糖,0.6756756756756757,0.7567567567567568,0.8918918918918919
油条,0.9743589743589743,1.0,1.0
土豆炖鸡块,0.41379310344827586,0.6551724137931034,0.896551724137931
水果派,0.8571428571428571,0.9523809523809523,0.9523809523809523
蚝油生菜,0.896551724137931,0.9310344827586207,0.9655172413793104
清炒冬瓜,0.4827586206896552,0.8275862068965517,0.9310344827586207
红丝绒蛋糕,0.875,0.95,0.9875
鸡蛋饼,0.9038461538461539,0.9423076923076923,0.9615384615384616
上汤娃娃菜,0.72,1.0,1.0
炒河粉,0.48936170212765956,0.6382978723404256,0.8936170212765957
驴肉火烧,0.8888888888888888,1.0,1.0
土豆焖豆角,0.8444444444444444,1.0,1.0
皮蛋豆腐,0.9381443298969072,0.9896907216494846,1.0
粉丝蒸扇贝,0.9136690647482014,0.9640287769784173,0.9856115107913669
肉汁奶酪薯条,0.5384615384615384,0.7692307692307693,0.8461538461538461
炒上海青,0.72,0.84,0.96
香辣鸡脆骨,0.46153846153846156,0.6923076923076923,0.9230769230769231
叉烧,0.7833333333333333,0.9,0.95
蓝莓,0.875,0.9583333333333334,1.0
泡椒牛蛙,0.8636363636363636,0.9318181818181818,0.9659090909090909
乌鸡汤,0.7974683544303798,0.8987341772151899,0.9367088607594937
韭菜炒鸡蛋,0.6984126984126984,0.8571428571428571,1.0
红烧牛肉面,0.8181818181818182,0.8636363636363636,0.9545454545454546
提拉米苏,0.8461538461538461,0.9384615384615385,0.9846153846153847
杏,0.3333333333333333,0.6666666666666666,0.8666666666666667
豉汁凤爪,0.6842105263157895,0.8421052631578947,1.0
甜瓜,0.75,0.9,0.95
芝麻烧饼,0.926829268292683,0.975609756097561,0.9878048780487805
枇杷,0.875,0.9375,1.0
茶,0.5428571428571428,0.8571428571428571,0.9142857142857143
凉皮,0.875,0.9107142857142857,0.9821428571428571
奶昔,0.6666666666666666,0.9230769230769231,0.9743589743589743
炸酱面,0.7391304347826086,0.8695652173913043,0.9565217391304348
猪肉脯,0.926829268292683,0.9512195121951219,1.0
瓜子,0.9591836734693877,0.9795918367346939,1.0
烧仙草,0.75,0.9166666666666666,1.0
土豆炖牛肉,0.8194444444444444,0.9583333333333334,0.9861111111111112
锅包肉,0.7912087912087912,0.8901098901098901,0.967032967032967
玉米糊,0.38461538461538464,0.5769230769230769,0.7692307692307693
锅巴,0.6666666666666666,0.8333333333333334,0.9444444444444444
萝卜糕,0.84,0.9,0.96
凉拌皮蛋,0.5076923076923077,0.9538461538461539,0.9692307692307692
桂圆干,0.7777777777777778,1.0,1.0
苏打饼干,0.8235294117647058,0.8823529411764706,0.9411764705882353
兰州拉面,0.16,0.44,0.76
草莓,1.0,1.0,1.0
酥饼,0.4166666666666667,0.6666666666666666,0.9166666666666666
牛排,0.8571428571428571,0.974025974025974,0.9805194805194806
火腿肠,0.6,0.8363636363636363,0.9636363636363636
千层饼,0.7027027027027027,0.8378378378378378,0.918918918918919
腰果,0.9333333333333333,0.9333333333333333,0.95
爆米花,0.8615384615384616,0.9538461538461539,0.9846153846153847
松鼠桂鱼,0.9629629629629629,0.9629629629629629,1.0
红烧羊排,0.24,0.4,0.72
糖葫芦,0.935064935064935,0.948051948051948,0.974025974025974
肉馅糕,0.625,1.0,1.0
蛋挞,0.9629629629629629,0.9814814814814815,0.9814814814814815
酸辣土豆丝,0.6111111111111112,0.8444444444444444,0.9666666666666667
红烧猪蹄,0.8395061728395061,0.9012345679012346,0.9567901234567902
三文鱼刺身,0.8048780487804879,0.975609756097561,0.9878048780487805
绿豆糕,0.5283018867924528,0.9056603773584906,0.9622641509433962
椒盐虾,0.5932203389830508,0.864406779661017,1.0
脆皮香蕉,0.8181818181818182,0.8484848484848485,0.9090909090909091
薯条,0.7543859649122807,0.9298245614035088,0.9649122807017544
生煎包,0.85,0.9333333333333333,0.9833333333333333
汤粉,0.6470588235294118,0.7058823529411765,0.9411764705882353
粉丝娃娃菜,0.9166666666666666,0.9583333333333334,0.9895833333333334
肉蟹煲,0.8888888888888888,0.9629629629629629,0.9814814814814815
桃,0.9302325581395349,0.9534883720930233,0.9767441860465116
清汤面,0.3870967741935484,0.6129032258064516,0.8709677419354839
猪猪包,0.8636363636363636,0.9090909090909091,1.0
蛋包饭,0.8387096774193549,0.8709677419354839,0.967741935483871
姜母鸭,0.14285714285714285,0.42857142857142855,0.8571428571428571
关东煮,0.7794117647058824,0.8676470588235294,0.9264705882352942
炸鸡腿,0.8333333333333334,0.8888888888888888,0.8888888888888888
红烧牛肉,0.17857142857142858,0.4642857142857143,0.8928571428571429
鲍鱼,0.9836065573770492,0.9836065573770492,0.9836065573770492
无花果,0.9428571428571428,0.9428571428571428,0.9428571428571428
糯米鸡,0.9016393442622951,0.9672131147540983,1.0
白菜卷,0.8375,0.925,0.975
鱼丸汤,0.8695652173913043,0.9565217391304348,0.9710144927536232
马卡龙,0.9428571428571428,0.9571428571428572,0.9857142857142858
西米露,0.7872340425531915,0.8085106382978723,0.9574468085106383
手抓羊肉,0.7435897435897436,0.8205128205128205,0.8717948717948718
冷面,0.6511627906976745,0.813953488372093,0.9767441860465116
榛子,0.9682539682539683,1.0,1.0
地瓜干,0.6071428571428571,0.7321428571428571,0.8928571428571429
麻花,0.8666666666666667,0.9333333333333333,0.9666666666666667
馄饨面,0.9175257731958762,0.9587628865979382,0.9690721649484536
小龙虾,0.9918032786885246,1.0,1.0
炸鱿鱼,0.9666666666666667,1.0,1.0
煎鱼,0.6206896551724138,0.7931034482758621,1.0
红烧甲鱼,0.7575757575757576,0.8787878787878788,0.9090909090909091
水煮鱼,0.7204301075268817,0.8924731182795699,0.978494623655914
法棍,0.3333333333333333,0.8,0.8666666666666667
糖醋里脊,0.7916666666666666,0.9166666666666666,0.9895833333333334
炒面,0.5217391304347826,0.8695652173913043,0.9710144927536232
大盘鸡,0.8241758241758241,0.9010989010989011,0.978021978021978
炒豆芽,0.6956521739130435,0.7391304347826086,0.9130434782608695
土豆泥,0.6808510638297872,0.8297872340425532,0.9574468085106383
金桔,0.8653846153846154,0.9615384615384616,1.0
炒白菜,0.8910891089108911,0.9603960396039604,0.9900990099009901
奶油泡芙,0.8160919540229885,0.896551724137931,0.9770114942528736
刺身拼盘,0.8297872340425532,0.9574468085106383,0.9680851063829787
木耳炒肉,0.4482758620689655,0.8275862068965517,0.9655172413793104
粽子,0.9357798165137615,0.981651376146789,1.0
烤地瓜,0.7575757575757576,0.7575757575757576,0.8787878787878788
冬阴功汤,0.9354838709677419,0.967741935483871,1.0
白米饭,0.8651685393258427,0.9325842696629213,0.9662921348314607
炒莲藕,0.8714285714285714,0.9142857142857143,0.9714285714285714
芦笋炒肉,0.36363636363636365,0.5454545454545454,0.9090909090909091
香蕉,0.9423076923076923,0.9615384615384616,0.9807692307692307
罐头,0.8541666666666666,0.8958333333333334,1.0
鳝鱼,0.725,0.825,0.925
雪饼,0.8857142857142857,0.9142857142857143,0.9714285714285714
番茄,1.0,1.0,1.0
清炒山药,0.8076923076923077,0.8846153846153846,0.9615384615384616
凉拌海带丝,0.8958333333333334,0.9375,0.9791666666666666
辣子鸡,0.7272727272727273,0.8441558441558441,0.935064935064935
吞拿鱼刺身,0.8,0.8666666666666667,1.0
汉堡,0.9782608695652174,0.9782608695652174,1.0
凉拌豆腐丝,0.8367346938775511,0.9387755102040817,1.0
可丽饼,0.5833333333333334,0.7777777777777778,0.9444444444444444
雪碧,0.6129032258064516,0.8064516129032258,0.9354838709677419
榨菜炒肉,0.3888888888888889,0.6111111111111112,0.8333333333333334
煎饺,0.9333333333333333,0.9777777777777777,1.0
小鸡炖蘑菇,0.7283950617283951,0.8271604938271605,0.8888888888888888
意大利面,0.974025974025974,0.9805194805194806,1.0
双皮奶,0.5862068965517241,0.8275862068965517,0.8620689655172413
炒空心菜,0.5757575757575758,0.8787878787878788,1.0
绿豆汤,0.8970588235294118,0.9264705882352942,0.9852941176470589
